YEAR,County,Total (All race groups),White,Black,American Indian,Asian,Native Hawaiian and other Pacific Islander,Hispanic or Latino,Multi-Race
2050,Calaveras,60052,40581,538,550,935,135,14528,2785
2050,Colusa,36757,13143,248,558,596,70,21630,513
2050,Contra Costa,1489068,530032,90296,3250,228997,12339,552778,71376
2050,Del Norte,32180,16162,1257,2306,2026,49,8593,1788
2050,El Dorado,283125,203224,1213,1909,22052,984,45773,7969
2050,Fresno,1509715,356025,58639,7703,147608,1944,907527,30269
2050,Glenn,38020,16446,218,506,931,18,19000,901
2050,Humboldt,147997,90490,1468,8670,8816,615,28851,9088
2050,Imperial,326776,40573,5858,2473,10821,326,265158,1566
2050,Inyo,23053,12572,141,1940,504,11,7401,485
2050,Kern,1858455,572347,71677,8219,85325,2074,1095892,22920
2050,Kings,260500,82015,10268,1806,12946,242,146067,7157
2050,Lake,105715,59505,1005,1811,5019,110,34125,4140
2050,Lassen,41563,23796,3143,1005,1206,177,10333,1903
2050,Los Angeles,11434565,2150895,710257,19306,1681513,27031,6508771,336793
2050,Madera,323469,100606,4979,1858,12092,476,198034,5425
2050,Marin,264810,141924,6380,464,34256,409,67629,13748
2050,Mariposa,23003,14117,81,386,1640,103,6001,675
2050,Mendocino,99863,51537,592,3988,3990,124,36109,3524
2050,Merced,496787,144938,8950,1198,50851,681,282813,7356
2050,Modoc,10792,7125,44,275,346,29,2680,294
2050,Mono,19009,10031,61,232,446,6,7788,445
2050,Monterey,542899,104662,8738,1108,37540,1796,372519,16535
2050,Napa,185238,67332,2520,558,22746,527,86643,4911
2050,Nevada,140595,93778,386,776,12776,107,28330,4441
2050,Orange,3324920,1072768,45014,5366,652481,11177,1400894,137221
2050,Placer,547072,358398,4522,2222,57245,735,102130,21820
2050,Plumas,19578,13481,195,477,679,48,3907,791
2050,Riverside,3828798,1212475,179765,13745,260370,7879,2058398,96165
2050,Sacramento,2063132,821771,171921,8878,330636,32181,546612,151134
2050,San Benito,81864,17486,612,222,5179,48,57173,1145
2050,San Bernardino,3248440,912582,319406,11728,164638,9687,1739925,90473
2050,San Diego,3969663,1480776,149727,16006,428942,24479,1698127,171608
2050,San Francisco,907443,400594,34101,2413,290423,4087,127226,48599
2050,San Joaquin,1379333,400490,81791,4106,204171,3705,646281,38789
2050,San Luis Obispo,338808,176219,3866,1375,25029,543,121962,9814
2050,San Mateo,895603,249213,18221,1118,242682,13767,318100,52502
2050,Santa Barbara,506466,154057,7799,1432,38305,568,288215,16090
2050,Santa Clara,2152199,524328,42405,4254,773856,10489,683215,113652
